State,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,latitude,longitude,name,desc,color,source,precision
WASHINGTON,205,215,205,225,215,215,215,215,235,225,47.4112968,-120.5562668,WASHINGTON,Washington,,Bing Maps,state/province
OREGON,195,215,200,215,205,188,190,188,230,212,43.9388123,-120.5585861,OREGON,Oregon,,Bing Maps,state/province
IDAHO,170,185,190,189,195,181,200,207,188,203,44.3890305,-114.6594162,IDAHO,Idaho,,Bing Maps,state/province
IOWA,171,181,165,172,137,164,178,192,203,202,42.0746994,-93.4999695,IOWA,Iowa,,Bing Maps,state/province
ILLINOIS,179,174,157,157,105,178,200,175,197,201,40.1139374,-89.1587677,ILLINOIS,Illinois,,Bing Maps,state/province
ARIZONA,165,175,210,178,195,177,210,210,215,195,34.2930832,-111.6646957,ARIZONA,Arizona,,Bing Maps,state/province
MINNESOTA,162,174,177,155,165,159,156,188,193,194,46.3493538,-94.1983795,MINNESOTA,Minnesota,,Bing Maps,state/province
DELAWARE,125,145,114,130,135,166,200,192,170,189,39.0081253,-75.4674683,DELAWARE,Delaware,,Bing Maps,state/province
MISSISSIPPI,140,128,136,128,165,176,185,175,166,189,32.7218018,-89.6562424,MISSISSIPPI,Mississippi,,Bing Maps,state/province
LOUISIANA,144,132,140,135,173,173,183,171,165,184,30.9665108,-91.8519058,LOUISIANA,Louisiana,,Bing Maps,state/province
ARKANSAS,152,148,150,141,178,186,187,181,171,183,34.8999214,-92.4388733,ARKANSAS,Arkansas,,Bing Maps,state/province
NEBRASKA,163,179,166,160,142,169,179,185,178,181,41.5272713,-99.8111038,NEBRASKA,Nebraska,,Bing Maps,state/province
INDIANA,160,171,157,146,99,177,188,150,173,180,39.9198036,-86.2817993,INDIANA,Indiana,,Bing Maps,state/province
KENTUCKY,136,165,124,139,68,170,158,172,159,178,37.5272331,-85.2876205,KENTUCKY,Kentucky,,Bing Maps,state/province
OHIO,131,171,160,153,120,174,176,153,159,177,40.4130516,-82.7112122,OHIO,Ohio,,Bing Maps,state/province
GEORGIA,140,140,146,159,180,175,170,171,165,176,32.6483307,-83.4445572,GEORGIA,Georgia,,Bing Maps,state/province
UTAH,157,150,178,164,167,170,160,173,175,176,39.3237381,-111.6782379,UTAH,Utah,,Bing Maps,state/province
WISCONSIN,137,153,162,155,120,145,156,164,178,174,44.6417885,-89.7367401,WISCONSIN,Wisconsin,,Bing Maps,state/province
MARYLAND,121,145,106,109,122,158,175,164,152,172,38.9525223,-76.7012177,MARYLAND,Maryland,,Bing Maps,state/province
TENNESSEE,118,148,117,131,85,156,168,160,151,171,35.8430023,-86.3430481,TENNESSEE,Tennessee,,Bing Maps,state/province
